SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
ABFRL,EQ,160.5,160.5,153.5,155,155.4,159.7,212669,33069481.95,16-FEB-2018,3521,INE647O01011,
ABGSHIP,BZ,11.3,11.4,10.7,11.2,11.35,11,20505,227183.85,16-FEB-2018,70,INE067H01016,
ABMINTLTD,BE,49.5,49.5,46,49.45,49.45,47.15,1157,55459,16-FEB-2018,23,INE251C01017,
ACC,EQ,1634,1661,1630.15,1650.6,1645.25,1621.3,523625,864717059.1,16-FEB-2018,26122,INE012A01025,
ACCELYA,EQ,1389.15,1399,1365,1374.05,1365,1389.45,4853,6703364.25,16-FEB-2018,1414,INE793A01012,
ACCORD,SM,46.05,46.05,45.1,46,46,47.45,6000,274300,16-FEB-2018,3,INE113X01015,
ACE,EQ,182.5,190.7,180,184.4,185,181.05,1384373,255983600.85,16-FEB-2018,14768,INE731H01025,
ACEINTEG,SM,47,47,47,47,47,47.05,3000,141000,16-FEB-2018,1,INE543V01017,
ADANIENT,EQ,215.8,218.45,204.8,207.8,208,214.75,5458989,1148323664.45,16-FEB-2018,34164,INE423A01024,
ADANIPORTS,EQ,414,415.6,402.35,405.45,407.1,411.7,1740283,708930765.15,16-FEB-2018,22815,INE742F01042,
ADANIPOWER,EQ,33.5,33.5,32,32.35,32.4,33.1,6906543,224476411.85,16-FEB-2018,10255,INE814H01011,
ADANITRANS,EQ,210,212,201.95,203.8,204,209.35,678670,138596201.45,16-FEB-2018,7420,INE931S01010,
ADFFOODS,EQ,269.65,269.7,246.4,250.8,251.2,267.95,355250,91295255.45,16-FEB-2018,7319,INE982B01019,
ADHUNIK,EQ,4.95,5.25,4.75,4.75,4.75,5,57382,281085.3,16-FEB-2018,99,INE400H01019,
ADHUNIKIND,EQ,86,88.95,84.8,88.25,84.8,89.25,1893,164928.55,16-FEB-2018,15,INE452L01012,
ADLABS,EQ,58.5,58.95,56.2,56.6,56.4,58.3,53300,3039425.4,16-FEB-2018,500,INE172N01012,
ADORWELD,EQ,449,452.05,430.1,436,431.2,445.4,8568,3784570.6,16-FEB-2018,505,INE045A01017,
ADSL,EQ,24.6,25,24.1,24.5,25,25.2,128228,3137993.75,16-FEB-2018,182,INE102I01027,
ADVANIHOTR,EQ,69.9,69.9,63.6,64.45,64.5,67.75,47382,3071639.3,16-FEB-2018,303,INE199C01026,
ADVENZYMES,EQ,245.8,247.5,237,241.15,243,243.9,191607,46137335.8,16-FEB-2018,3367,INE837H01020,
AEGISCHEM,EQ,274.4,274.4,260,263.1,262,270.65,117308,31342900.45,16-FEB-2018,3117,INE208C01025,
AFL,EQ,53.45,53.5,50.25,51,50.95,51.6,7073,363828.15,16-FEB-2018,66,INE020G01017,
AGARIND,BE,450,450,425,426.55,430,444.65,903,386242.05,16-FEB-2018,20,INE204E01012,
AGCNET,EQ,133.9,135,125.15,128.75,128.8,129.35,9888,1277604.4,16-FEB-2018,128,INE676A01019,
AGLSL,EQ,114.8,114.8,109.55,110.8,110,113,16164,1818195.8,16-FEB-2018,125,INE517U01013,
AGRITECH,EQ,151.1,154.1,147.9,147.9,147.9,164.3,81940,12294958.65,16-FEB-2018,803,INE449G01018,
AGROPHOS,SM,37.7,37.75,37.65,37.65,37.65,37.45,24000,904800,16-FEB-2018,4,INE740V01019,
AHLEAST,BE,299,300,290.3,290.75,299,305.55,1232,361203.15,16-FEB-2018,48,INE926K01017,
AHLUCONT,EQ,346.55,353.45,344.8,346.25,349,346.2,37104,12818250.65,16-FEB-2018,600,INE758C01029,
AHLWEST,EQ,260,271,255,258.95,258.95,260,2836,727774.4,16-FEB-2018,57,INE915K01010,
AIAENG,EQ,1464.7,1465,1440,1450.05,1450,1464.7,22523,32684069,16-FEB-2018,1758,INE212H01026,
AICHAMP,BE,30.45,33.6,30.4,33.6,33.6,32,1876,58094.6,16-FEB-2018,7,INE768E01024,
AIFL,EQ,470.9,483.9,469.9,478.15,476.05,470.9,281829,134809838.35,16-FEB-2018,4938,INE428O01016,
AIROLAM,SM,46.85,46.9,45.4,46.2,46.5,45.05,33000,1537800,16-FEB-2018,11,INE801L01010,
AISL,SM,126,127.15,123.05,123.05,123.05,130,14400,1798680,16-FEB-2018,11,INE635Y01015,
AJANTPHARM,EQ,1405,1420,1377,1391.75,1392,1408,114831,159926020.65,16-FEB-2018,6161,INE031B01049,
AJMERA,EQ,247.5,253,231.1,234.7,235.35,245.25,263682,63034858.85,16-FEB-2018,5625,INE298G01027,
AJOONI,SM,40.5,40.5,37,37,37,40.5,24000,918400,16-FEB-2018,6,INE820Y01013,
AKSHARCHEM,EQ,674,674,640,644.55,649,660.5,14455,9415336,16-FEB-2018,837,INE542B01011,
AKSHOPTFBR,EQ,40.55,40.85,38.15,38.85,39.35,40.05,1062962,41493712.95,16-FEB-2018,3181,INE523B01011,
AKZOINDIA,EQ,1799.9,1869,1764.15,1828.95,1845.55,1784.2,8066,14644566.3,16-FEB-2018,1217,INE133A01011,
ALANKIT,EQ,52.8,54.5,51.25,51.45,51.55,53.9,303230,15895229.5,16-FEB-2018,1636,INE914E01040,
ALBERTDAVD,BE,387,395.35,382,384.15,382,390.6,3141,1208426.25,16-FEB-2018,35,INE155C01010,
ALBK,EQ,54.75,55.5,53.95,54.85,54.9,54.95,6356502,347141848.8,16-FEB-2018,16012,INE428A01015,
ALCHEM,BE,12.65,12.65,12.05,12.1,12.1,12.3,1504,18241.45,16-FEB-2018,17,INE964B01033,
ALEMBICLTD,EQ,62.7,63.45,60.7,61.05,61,62.35,484364,29876812.25,16-FEB-2018,3590,INE426A01027,
ALICON,EQ,639.65,639.65,613,621.95,626,628.75,2211,1375137.75,16-FEB-2018,131,INE062D01024,
ALKALI,EQ,91,91.25,84,85.15,86,88.65,29781,2582310.6,16-FEB-2018,571,INE773I01017,
ALKEM,EQ,2127.85,2185,2115.1,2164.4,2156.2,2132.4,14370,31077137,16-FEB-2018,3114,INE540L01014,
ALKYLAMINE,EQ,621,637,621,625.7,637,619,1762,1097237.85,16-FEB-2018,98,INE150B01021,
ALLCARGO,EQ,182.5,182.5,175.2,175.7,175.75,181.05,324031,57466563.75,16-FEB-2018,6016,INE418H01029,
ALLSEC,EQ,390.1,393.85,374.6,379.95,380,385.95,26166,9936376,16-FEB-2018,398,INE835G01018,
ALMONDZ,EQ,29.75,30.6,28.35,28.8,28.5,29.25,21284,626486,16-FEB-2018,101,INE326B01027,
ALOKTEXT,EQ,3.45,3.45,3.25,3.35,3.4,3.4,3350932,11270327.2,16-FEB-2018,1155,INE270A01011,
ALPA,EQ,44.75,44.75,43,44.75,44.75,42.65,151355,6757716.3,16-FEB-2018,400,INE385I01010,
ALPHAGEO,EQ,844,844,808.2,815.6,818.05,833.45,23813,19656588.6,16-FEB-2018,1985,INE137C01018,
ALPSINDUS,EQ,4.6,4.75,4.55,4.7,4.7,4.55,80999,378151,16-FEB-2018,118,INE093B01015,
AMARAJABAT,EQ,830,831.75,812.1,815.75,813.5,825.05,351943,288864036.05,16-FEB-2018,16746,INE885A01032,
AMBER,EQ,1153,1190,1153,1158.5,1161,1151.25,95391,111196798.7,16-FEB-2018,5942,INE371P01015,
AMBIKCO,EQ,1330,1343.9,1315,1329.15,1334,1312.3,5281,6988915,16-FEB-2018,510,INE540G01014,
AMBUJACEM,EQ,254.3,261.5,254.3,257.05,256.5,253.4,4870752,1260379592.35,16-FEB-2018,37174,INE079A01024,
AMDIND,EQ,38.6,39.9,35,35.1,35,37.1,52080,1858346.55,16-FEB-2018,385,INE005I01014,
AMJLAND,EQ,29.2,29.2,27.35,27.8,27.75,28.15,19052,527584,16-FEB-2018,92,INE606A01024,
AMJUMBO,SM,66.8,66.8,65,65,65,67.1,40000,2639600,16-FEB-2018,18,INE749Y01014,
AMRUTANJAN,EQ,600,601.25,582.05,585.45,589,592.4,2291,1355122.45,16-FEB-2018,243,INE098F01023,
AMTEKAUTO,EQ,23.8,24,23,23.5,23.8,23.75,446199,10428913.4,16-FEB-2018,1848,INE130C01021,
ANANTRAJ,EQ,60.9,61.55,58.25,59.05,59.25,60.3,882204,52476153.55,16-FEB-2018,6649,INE242C01024,
ANDHRABANK,EQ,47,47.35,46.05,46.6,46.85,46.9,2402584,111944458.3,16-FEB-2018,6080,INE434A01013,
ANDHRACEMT,EQ,11.6,11.85,11.1,11.35,11.4,11.55,215365,2440187.9,16-FEB-2018,526,INE666E01012,
ANDHRSUGAR,EQ,499.95,505,483.45,490.55,490,495.85,52040,25577191.35,16-FEB-2018,1839,INE715B01013,
ANGIND,EQ,6.1,6.1,5.7,5.9,5.85,5.9,11040,64550.7,16-FEB-2018,40,INE017D01010,
ANIKINDS,EQ,48.6,50,42.3,43,42.95,48.25,66105,2971773.8,16-FEB-2018,989,INE087B01017,
ANSALAPI,EQ,24.2,24.2,23.2,23.45,23.45,23.85,79919,1875072.35,16-FEB-2018,273,INE436A01026,
ANSALHSG,EQ,23.9,26.1,22.5,23.9,23.85,23.6,108501,2588398.25,16-FEB-2018,876,INE880B01015,
ANTGRAPHIC,BE,0.95,1,0.95,1,0.95,1,34734,33194.8,16-FEB-2018,17,INE414B01021,
APARINDS,EQ,809.9,809.9,774.8,782.8,781,796,7840,6158859.65,16-FEB-2018,847,INE372A01015,
APCL,EQ,210,213.5,190,193.65,193.95,201.95,7689,1507226.1,16-FEB-2018,190,INE071F01012,
APCOTEXIND,EQ,514,525,504,505.6,504.15,511.95,12562,6428110.2,16-FEB-2018,628,INE116A01024,
APEX,EQ,722.05,722.05,680.55,686.85,688.5,714.9,284331,198570794.75,16-FEB-2018,8743,INE346W01013,
APLAPOLLO,EQ,2038,2089.7,2026,2068.75,2066,2046.2,14540,30048214.5,16-FEB-2018,1482,INE702C01019,
APLLTD,EQ,576.45,585,555.05,576.45,572,577.15,36406,20861064.2,16-FEB-2018,2148,INE901L01018,
APOLLO,EQ,313,313.9,301,302.75,303.95,311.55,98752,30206108.2,16-FEB-2018,5375,INE713T01010,
APOLLOHOSP,EQ,1235,1244.2,1122,1141.85,1142.1,1207.95,1146020,1345779995.6,16-FEB-2018,33453,INE437A01024,
APOLLOTYRE,EQ,273,276,260.05,261.3,261.6,272.75,2417120,642433390.65,16-FEB-2018,21806,INE438A01022,
APOLSINHOT,EQ,1570,1570,1432.55,1465.35,1465.1,1480.45,486,727463.6,16-FEB-2018,64,INE451F01016,
APTECHT,EQ,324,328.75,302.55,307.1,307.5,323.4,703771,219175204.5,16-FEB-2018,12910,INE266F01018,
ARCHIDPLY,EQ,97,100.9,95.3,96.15,96.9,97.75,36626,3568755.2,16-FEB-2018,523,INE877I01016,
ARCHIES,EQ,39.7,39.7,37.75,37.95,38.1,39.2,163890,6290280.5,16-FEB-2018,1011,INE731A01020,
ARCOTECH,EQ,46.1,47.2,44.8,45.4,45.4,46.1,194484,8865317.05,16-FEB-2018,1085,INE574I01035,
ARIES,EQ,220,224.95,208.1,208.7,208.2,219.05,40730,8616091.4,16-FEB-2018,723,INE298I01015,
ARIHANT,BE,46.55,46.55,46.2,46.2,46.2,46.8,802,37117.55,16-FEB-2018,5,INE413D01011,
ARIHANTSUP,EQ,152.75,152.75,147.6,147.85,147.65,150.4,145329,21553837.05,16-FEB-2018,955,INE643K01018,
ARMANFIN,EQ,298,298,281.2,284,286,296,8232,2365003.2,16-FEB-2018,57,INE109C01017,
AROGRANITE,EQ,69.15,69.75,64.7,65.85,65.65,69.1,54931,3624976.25,16-FEB-2018,730,INE210C01013,
ARROWGREEN,EQ,431.4,433.75,406.35,413.65,412.1,432.6,21879,9216305.65,16-FEB-2018,934,INE570D01018,
ARROWTEX,EQ,42.5,43.1,41,41.8,42,41.15,32079,1343031.35,16-FEB-2018,266,INE933J01015,
ARSHIYA,EQ,100,101.05,93.55,94.95,94.6,97.6,94215,9154917.35,16-FEB-2018,1030,INE968D01022,
ARSSINFRA,BE,52.5,55.1,51,54.2,55.1,52.5,37796,2011317.65,16-FEB-2018,151,INE267I01010,
ARVIND,EQ,400.35,404,384.5,386.2,385,398.75,1336988,524189881.7,16-FEB-2018,16422,INE034A01011,
ARVSMART,EQ,190.55,191.3,183,183.85,183.25,187.9,21259,3927235.45,16-FEB-2018,396,INE034S01021,
ASAHIINDIA,EQ,346.8,346.8,335.55,337.75,338.5,345.2,7386,2513451.8,16-FEB-2018,327,INE439A01020,
ASAHISONG,EQ,368.8,368.8,348,350.55,351.8,363.05,10669,3779078.3,16-FEB-2018,366,INE228I01012,
ASAL,EQ,85.85,86,80.1,82.1,82,85.25,16890,1398214.05,16-FEB-2018,244,INE900C01027,
ASHAPURMIN,EQ,86.1,87.65,83.3,83.7,83.8,85.15,185037,15716570.7,16-FEB-2018,1456,INE348A01023,
ASHIANA,EQ,180,180.5,176.15,178.2,179,176.95,117690,20931735.35,16-FEB-2018,3685,INE365D01021,
ASHIMASYN,EQ,29.45,30,27.55,27.9,27.85,29.2,231251,6600927.05,16-FEB-2018,806,INE440A01010,
ASHOKA,EQ,230.65,232.9,220.1,222.2,222,229.3,129678,29081941.9,16-FEB-2018,2613,INE442H01029,
ASHOKLEY,EQ,138.6,138.9,133.4,133.95,134,137.25,14941293,2019125914.4,16-FEB-2018,60618,INE208A01029,
ASIANHOTNR,BE,265.05,274.85,261,273,273,273.05,28260,7696067.65,16-FEB-2018,77,INE363A01022,
ASIANPAINT,EQ,1136.5,1147,1130,1143.85,1145,1135.45,734476,836124056.8,16-FEB-2018,15380,INE021A01026,
ASIANTILES,EQ,540,540,511.9,516.6,515,534.15,53386,28089986.95,16-FEB-2018,1787,INE022I01019,
ASPINWALL,EQ,440,445,420,426.25,427,437.95,2653,1138695,16-FEB-2018,83,INE991I01015,
ASSAMCO,EQ,5,5.2,4.85,5,5.1,5.1,513595,2543741.55,16-FEB-2018,382,INE442A01024,
ASTEC,EQ,584,585.45,570,572.8,570.25,573.8,20325,11710156,16-FEB-2018,849,INE563J01010,
ASTRAL,EQ,776,784.9,755.3,764,764,771.35,27259,20925392.65,16-FEB-2018,867,INE006I01046,
ASTRAMICRO,EQ,107,107.7,104,104.95,104.5,106.55,685132,71972225.5,16-FEB-2018,3365,INE386C01029,
ASTRAZEN,EQ,1055,1055,1026,1028.3,1028.1,1045.15,1787,1845885.5,16-FEB-2018,220,INE203A01020,
ASTRON,EQ,134.05,134.55,128,131.55,131.8,134.05,215751,28295613.3,16-FEB-2018,2685,INE646X01014,
ATFL,EQ,649.6,651.4,630,636.55,642.55,649.55,14230,9069863.65,16-FEB-2018,1067,INE209A01019,
ATLANTA,EQ,97.95,98.35,94.1,94.8,94.8,96.8,258900,24643952.15,16-FEB-2018,2234,INE285H01022,
ATLASCYCLE,BE,185,189.8,183.2,186.35,187,187.6,2487,462845.45,16-FEB-2018,76,INE446A01025,
ATUL,EQ,2735,2735,2695,2712.1,2728.8,2713.55,3295,8943415,16-FEB-2018,669,INE100A01010,
ATULAUTO,EQ,421.5,425,413,414.9,415.45,420.45,127111,53353151.15,16-FEB-2018,1246,INE951D01028,
AUBANK,EQ,592.15,595,581,583,582,590.65,77873,45509682.8,16-FEB-2018,3670,INE949L01017,
AURIONPRO,EQ,217,221.5,207.9,208.7,209.8,215.45,67697,14357789.7,16-FEB-2018,1189,INE132H01018,
AUROPHARMA,EQ,594,597.75,586.25,589.3,589.65,592.55,1814153,1072936916.9,16-FEB-2018,37522,INE406A01037,
AUSOMENT,EQ,83.85,83.85,71.3,73.3,73.1,78.55,76586,5740276.35,16-FEB-2018,1300,INE218C01016,
AUTOAXLES,EQ,1680,1698.85,1642.3,1669.2,1684.95,1677.15,8099,13509115,16-FEB-2018,859,INE449A01011,
AUTOIND,EQ,96.7,99,91.95,92,91.95,96.75,36076,3349608.55,16-FEB-2018,288,INE718H01014,
AUTOLITIND,EQ,82.6,82.6,74.5,75.7,75.8,79.8,37924,2937099.95,16-FEB-2018,418,INE448A01013,
AVADHSUGAR,EQ,796.45,808.9,768,777.8,780,786.6,45315,35443448,16-FEB-2018,1669,INE349W01017,
AVANTIFEED,EQ,2397.8,2397.8,2315,2342.35,2347,2374.8,64492,151308684.6,16-FEB-2018,9789,INE871C01020,
AVTNPL,EQ,44.15,44.25,41.5,42,42.05,43.5,149407,6359973.85,16-FEB-2018,955,INE488D01021,
AXISBANK,EQ,547.05,548.6,535,537.85,538.75,543.7,3910503,2109950927.1,16-FEB-2018,58185,INE238A01034,
AXISCADES,EQ,176.25,178.35,169.65,174.15,175.6,174.25,115777,20075417.4,16-FEB-2018,1750,INE555B01013,
AXISGOLD,EQ,2700,2714.9,2687,2702,2701.1,2705.1,399,1077960.2,16-FEB-2018,34,INF846K01347,
AXISNIFTY,EQ,1059.86,1066.73,1051.86,1055.46,1055.46,1047.05,110,115854.31,16-FEB-2018,10,INF846K01ZL0,
AYMSYNTEX,EQ,67.85,68.7,64.6,65.95,66.7,67.25,28992,1931532.25,16-FEB-2018,263,INE193B01039,
BAFNAPHARM,EQ,27.8,29,27.15,28,27.9,26.95,93981,2640402.4,16-FEB-2018,563,INE878I01014,
BAGFILMS,EQ,5.85,6.15,5.8,5.9,6,5.95,116330,690664.9,16-FEB-2018,167,INE116D01028,
BAJAJ-AUTO,EQ,3158,3158,3095.55,3103.9,3103,3143.5,132450,412962386.2,16-FEB-2018,12509,INE917I01010,
BAJAJCORP,EQ,493.45,494.4,489,489.75,490,494.9,9727,4776924.2,16-FEB-2018,858,INE933K01021,
BAJAJELEC,EQ,508.45,509.8,491.4,505.55,503.7,499.8,345462,173102819.55,16-FEB-2018,9239,INE193E01025,
BAJAJFINSV,EQ,5168.85,5199.8,5030,5058.25,5055.55,5130.35,88468,450241691.6,16-FEB-2018,8493,INE918I01018,
BAJAJHIND,EQ,13.3,13.55,13.1,13.2,13.25,13.4,1605212,21320005.75,16-FEB-2018,2165,INE306A01021,
BAJAJHLDNG,EQ,2732.05,2750,2728,2738.1,2745,2749.25,9992,27372825.4,16-FEB-2018,1519,INE118A01012,
BAJFINANCE,EQ,1690,1703.95,1671.55,1675.25,1672.5,1677.05,947685,1598333401.3,16-FEB-2018,31802,INE296A01024,
BALAJITELE,EQ,144.35,145,140.95,141.75,141.5,144.2,43805,6241670.35,16-FEB-2018,975,INE794B01026,
BALAMINES,EQ,653,670,641.35,650.15,652.85,654.2,27813,18217260.35,16-FEB-2018,1636,INE050E01027,
BALKRISHNA,EQ,76.5,77.8,73.3,73.85,75,75.9,18958,1417286.25,16-FEB-2018,174,INE875R01011,
BALKRISIND,EQ,1165.9,1175,1121,1125.35,1126,1160.45,561346,644217892.75,16-FEB-2018,14499,INE787D01026,
BALLARPUR,EQ,14,14.2,13.6,13.75,13.85,14.05,1188607,16448869.35,16-FEB-2018,1795,INE294A01037,
BALMLAWRIE,EQ,236.15,238.6,232.3,232.8,232.95,236.05,53908,12662676.15,16-FEB-2018,1311,INE164A01016,
BALPHARMA,EQ,94.4,94.4,90.65,91.5,91.85,93.6,43908,4042711.7,16-FEB-2018,377,INE083D01012,
BALRAMCHIN,EQ,120.7,121.6,116.05,116.65,116.25,120.2,1596326,188644603.4,16-FEB-2018,21354,INE119A01028,
BANARBEADS,EQ,64,67.85,63.1,63.5,63.1,66.4,3514,227853.85,16-FEB-2018,86,INE655B01011,
BANARISUG,EQ,1761.05,1835,1751.05,1769.25,1761,1798.8,275,486374.7,16-FEB-2018,90,INE459A01010,
BANCOINDIA,EQ,232.8,234.5,224.55,226.45,226.2,228.35,50546,11529289.8,16-FEB-2018,2104,INE213C01025,
BANG,EQ,33.1,34.8,32.6,32.95,32.95,33.55,12214,409636.9,16-FEB-2018,119,INE863I01016,
BANKBARODA,EQ,159.4,160.4,150.6,152
