SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
ASTRAL,EQ,835,835,821,825.05,822.5,824,11657,9645408.35,08-DEC-2017,580,INE006I01046,
ASTRAMICRO,EQ,113.55,115.75,113.55,113.95,114,113.55,136979,15686409.9,08-DEC-2017,1680,INE386C01029,
ASTRAZEN,EQ,1122.3,1160,1116.35,1151.9,1160,1128.25,10084,11522018.6,08-DEC-2017,460,INE203A01020,
ATFL,EQ,605.9,648,598,633,638,602,68204,42224743.85,08-DEC-2017,2191,INE209A01019,
ATLANTA,EQ,100.65,103.5,100.05,100.75,101,99.95,186475,18937519.65,08-DEC-2017,1931,INE285H01022,
ATLASCYCLE,BE,210,211.65,200.25,202.35,203.8,207.2,7553,1542716.55,08-DEC-2017,191,INE446A01025,
ATUL,EQ,2544.05,2570,2515.05,2554.45,2545,2519.05,6796,17374184.75,08-DEC-2017,932,INE100A01010,
ATULAUTO,EQ,427,429.95,423.5,425,424.25,425.5,30672,13073894,08-DEC-2017,1669,INE951D01028,
AUBANK,EQ,678,694,677,689.8,692,677.6,239590,164672121.05,08-DEC-2017,7501,INE949L01017,
AURDIS,SM,33.05,33.05,33.05,33.05,33.05,31.5,2000,66100,08-DEC-2017,1,INE448V01019,
AURIONPRO,EQ,182.5,184.9,179.5,180.55,179.5,180,44959,8190548.1,08-DEC-2017,791,INE132H01018,
AUROPHARMA,EQ,672,677.95,669.05,672.5,673,671.55,1193989,804288260.5,08-DEC-2017,26789,INE406A01037,
AUSOMENT,EQ,63.75,73.05,62.7,73.05,73.05,60.9,199820,14292488.3,08-DEC-2017,865,INE218C01016,
AUTOAXLES,EQ,1438.85,1454,1401.95,1420,1430,1427.4,38659,55427615,08-DEC-2017,4642,INE449A01011,
AUTOIND,BE,111.7,113.7,109,109.9,110,108.3,57139,6387474.8,08-DEC-2017,503,INE718H01014,
AUTOLITIND,EQ,70.5,72,70.2,70.75,71,70.05,13694,974386.5,08-DEC-2017,182,INE448A01013,
AVADHSUGAR,EQ,1120,1149,1085,1093.95,1097.4,1081.75,44982,49987383.1,08-DEC-2017,1732,INE349W01017,
AVANTIFEED,EQ,2630,2695,2606,2644.3,2634.95,2643.05,88815,235968768.6,08-DEC-2017,7686,INE871C01020,
AVTNPL,EQ,45.75,46.8,44.6,44.7,44.8,45.25,222468,10156664.4,08-DEC-2017,1233,INE488D01021,
AXISBANK,EQ,536.7,544.5,536.6,542.5,543.5,534.05,6007380,3252618776.2,08-DEC-2017,65869,INE238A01034,
AXISCADES,EQ,165,175.8,162.15,170.4,170.8,164,977984,167548820.3,08-DEC-2017,11841,INE555B01013,
AXISGOLD,EQ,2517.95,2517.95,2476,2484.9,2482,2516.45,281,701251.15,08-DEC-2017,72,INF846K01347,
AXISNIFTY,EQ,1030,1033.88,1025.42,1027.46,1027.46,1011.69,155,159075.24,08-DEC-2017,10,INF846K01ZL0,
AYMSYNTEX,EQ,61.8,64,59.45,59.95,60.3,59.9,15547,948532.25,08-DEC-2017,210,INE193B01039,
BAFNAPHARM,EQ,24.6,26,24.6,25.65,25.8,24.55,21862,554274.15,08-DEC-2017,105,INE878I01014,
BAGFILMS,BE,7,7.2,6.75,6.85,7,7,184970,1281777.9,08-DEC-2017,306,INE116D01028,
BAJAJ-AUTO,EQ,3235.7,3239.95,3200,3212.65,3215,3196.05,268936,865614300.5,08-DEC-2017,27947,INE917I01010,
BAJAJCORP,EQ,468.45,471.85,461.25,463.6,462.45,467.8,46272,21642501.5,08-DEC-2017,923,INE933K01021,
BAJAJELEC,EQ,490,492.5,478,482.2,481,492.6,275676,134113365.45,08-DEC-2017,5994,INE193E01025,
BAJAJFINSV,EQ,5090,5147.7,5070.2,5125.1,5111.35,5070.2,141024,721523975.2,08-DEC-2017,14311,INE918I01018,
